SRR4425681,SRR4425689,SRR4425715,SRR4425701,SRR4425700,SRR4425686,SRR4425680,SRR4425695,SRR4425678,SRR4425687,SRR4425719,SRR4425688,SRR4425667,SRR4425699,SRR4425705,SRR4425716,SRR4425713,SRR4425708,SRR4425707,SRR4425694,SRR4425690,SRR4425659,SRR4425683,SRR4425685,SRR4425668,SRR4425693,SRR4425704,SRR4425670,SRR4425662,SRR4425712,SRR4425676,SRR4425706,SRR4425677,SRR4425702,SRR4425656,SRR4425660,SRR4425718,SRR4425709,SRR4425703,SRR4425672,SRR4425673,SRR4425697,SRR4425710,SRR4425684,SRR4425666,SRR4425714,SRR4425711,SRR4425717,SRR4425671,SRR4425679,SRR4425661,SRR4425698,SRR4425669,SRR4425692,SRR4425664,SRR4425657,SRR4425675,SRR4425691,SRR4425696,SRR4425658,SRR4425682,SRR4425663,SRR4425665,SRR4425674
MEG_7626|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATE,80.0,0,1272458.0,108112.0,516.0,3812.0,1083.0,193.0,2470.0,0,315.0,0,110.0,6384.0,0,0,128.0,0,0,0,0,59642.0,2009.0,4224.0,186.0,0,93238.0,536.0,337549.0,127.0,168.0,0,1192.0,152550.0,0,41346.0,143.0,0,42975.0,0,480.0,120127.0,859585.0,3595.0,108.0,1836237.0,1138593.0,0,0,4185.0,283999.0,28351.0,225.0,0,329.0,0,0,0,424.0,0,110.0,110.0,160.0,439.0
MEG_3193|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3862.0,0,0,0,0,0,0,0,0,0,5155.0,0,0,0,0,0,0,2723.0,1946.0,0
MEG_1728|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CLBC,0,0,0,0,0,0,0,0,0,0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.0,0,0,0,0,0,0,215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2400|Drugs|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7032|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,0,0,2689.0,1504.0,900.0,0,0,0,0,0,2661.0,0,412.0,2441.0,1501.0,0,2026.0,0,37.0,0,0,53396.0,0,0,123.0,139.0,1537.0,36.0,17786.0,1032.0,12.0,1884.0,0,741.0,0,5853.0,2061.0,0,863.0,0,0,3961.0,2521.0,0,1740.0,2637.0,1050.0,0,0,0,7896.0,6947.0,122.0,0,2303.0,9196.0,0,0,16.0,22688.0,90.0,1203.0,724.0,0
MEG_6092|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41841.0,0,75289.0,0,0,0,0,0,0,0,0,0,92252.0,0,0,0,0,0,0,67040.0,26293.0,0
MEG_1600|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,13.0,0,36.0,0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0,0,0,0,0,0,0,0,0,0,139.0,0,0,0,0,0,0,95.0,62.0,0
MEG_4762|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0,0,0,0,0,0,0,0,0,0,140.0,0,0,0,0,0,0,0,87.0,0
MEG_2903|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,0,0,0,0,0,0,0,0,0,0,1406.0,0,0,0,3597.0,0,935.0,0,0,0,0,0,0,0,0,0,0,0,0,4491.0,0,195.0,0,0,0,0,764.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.0,0,0,0,143.0,0,0,0,0
MEG_4107|Drugs|MLS|23S_rRNA_methyltransferases|MYRA,29.0,0,552.0,1303.0,359.0,118.0,511.0,10.0,61.0,0,0,0,0,631.0,0,0,0,0,0,0,0,1941.0,88.0,605.0,0,0,687.0,0,655.0,0,33.0,0,508.0,11840.0,0,1184.0,0,0,8491.0,0,122.0,619.0,1506.0,440.0,0,11424.0,6897.0,0,0,58.0,0,4503.0,0,0,0,0,0,0,23.0,0,44.0,0,0,0
MEG_7346|Drugs|Glycopeptides|VanB-type_resistance_protein|VANB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0,0,0,0,0,0,0,0,87.0,51.0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6125|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29783.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24097.0,12538.0,0
MEG_6123|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,327.0,0,517414.0,104321.0,15221.0,1558.0,246.0,290.0,801.0,0,45938.0,0,289.0,19425.0,7902.0,0,84897.0,0,300.0,0,0,183498.0,641.0,274.0,256.0,1810.0,73979.0,342.0,206779.0,53509.0,174.0,20282.0,298.0,76407.0,0,153292.0,39140.0,326.0,24106.0,0,345.0,65782.0,291897.0,714.0,16679.0,197228.0,323731.0,0,0,798.0,273071.0,56975.0,406.0,0,22426.0,17639.0,238.0,0,293.0,85224.0,470.0,13039.0,7031.0,161.0
MEG_2745|Drugs|MLS|Macrolide_esterases|EREA,0,0,0,0,0,0,0,0,0,0,0,0,3791.0,0,0,0,0,0,0,0,0,0,0,0,1079.0,0,0,286.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27726.0,0,0,0,0,0,0,0,1257.0,0,33894.0,0,0,0,0,0,0,18872.0,11155.0,0
MEG_5160|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,17667.0,20.0,0,0,0,0,0,0,0,48.0,0,0,4123.0,0,0,1329.0,22.0,0,0,0,0,0,13.0,22.0,0,0,0,0,0,45.0,36.0,0,66408.0,20.0,0,0,0,0,0,0,5997.0,0,79444.0,0,0,0,0,0,0,46714.0,24621.0,0
MEG_1693|Drugs|betalactams|Class_A_betalactamases|CFX,20.0,0,169.0,0,3841.0,0,0,0,0,116.0,12336.0,0,158.0,7830.0,280.0,0,23823.0,0,0,0,44.0,50514.0,0,0,49.0,0,0,0,38322.0,58689.0,109.0,67.0,0,0,0,16260.0,54714.0,0,21.0,0,70.0,37827.0,0,0,3790.0,0,0,0,0,0,9998.0,7250.0,49.0,0,4709.0,134.0,37.0,0,61.0,88.0,88.0,2173.0,2123.0,70.0
MEG_777|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520.0,256.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5848|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACH,0,0,0,0,0,0,0,0,0,0,0,0,2169.0,0,0,0,0,0,0,0,0,15.0,0,0,632.0,0,0,205.0,0,0,0,0,0,0,0,0,7.0,0,6.0,0,0,0,11.0,0,17435.0,0,0,0,0,0,0,0,832.0,0,21522.0,0,0,0,0,0,0,12912.0,7073.0,0
MEG_3128|Drugs|betalactams|Class_A_betalactamases|GES,0,0,0,0,0,0,0,0,0,0,0,0,1815.0,0,0,0,0,0,0,0,0,0,0,0,446.0,0,0,126.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5221.0,0,0,0,0,0,0,0,480.0,0,6266.0,0,0,0,0,0,0,3813.0,1696.0,0
MEG_6674|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,211.0,143.0,113.0,0,0,0,0,0,20.0,0,0,0,0,0,64.0,0,0,0,0,176.0,0,0,0,0,33.0,0,191.0,0,0,132.0,0,34.0,0,79.0,0,0,142.0,0,0,29.0,429.0,0,0,223.0,79.0,0,0,0,143.0,140.0,0,0,21.0,57.0,0,0,0,0,0,0,0,0
MEG_2488|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,0,0,0,0,61.0,0,0,0,0,0,0,0,45.0,0,0,104.0,17.0,55.0,0,0,0,0,0,0,0,165.0,0,0,0,0,0,0,56.0,38.0,0
MEG_4067|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRA,0,0,527.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,0,0,0,0,75.0,0,0,0,0,0,0,89.0,0,0,0,0,137.0,0,0,0,595.0,0,112.0,747.0,449.0,0,0,0,0,0,0,0,176.0,0,0,0,0,0,0,142.0,130.0,0
MEG_1587|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3881|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR,0,0,4675.0,1608.0,0,11.0,34.0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,1240.0,0,0,0,0,0,13.0,4695.0,0,0,0,0,5624.0,0,0,13.0,4735.0,20.0,156.0,10527.0,7821.0,0,0,19.0,0,0,0,0,204.0,0,0,0,0,0,0,0,0,0
MEG_1692|Drugs|betalactams|Class_A_betalactamases|CFX,19.0,0,113.0,0,3785.0,0,0,0,0,132.0,11580.0,0,192.0,7706.0,285.0,0,24101.0,0,0,0,52.0,50181.0,0,0,45.0,0,0,0,38328.0,58275.0,98.0,47.0,0,0,0,16082.0,54269.0,0,0,0,57.0,37468.0,0,0,4433.0,31.0,0,0,0,0,9954.0,7230.0,46.0,0,5544.0,130.0,58.0,0,45.0,86.0,69.0,2567.0,2309.0,62.0
MEG_2578|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRF,0,0,0,0,99.0,0,0,0,0,0,543.0,0,1163.0,89.0,159.0,0,7730.0,0,0,12.0,0,1217.0,0,0,271.0,0,0,134.0,225.0,589.0,0,94.0,0,0,0,817.0,696.0,0,0,10.0,0,121.0,52.0,0,51278.0,0,0,0,0,0,180.0,0,465.0,16.0,55911.0,16.0,0,0,0,0,0,31395.0,21973.0,0
MEG_1460|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE,0,0,1271.0,1988.0,2284.0,0,25.0,0,0,0,896.0,0,27.0,3671.0,24222.0,0,247.0,26.0,0,0,0,8192.0,0,18.0,0,0,712.0,31.0,4939.0,4539.0,0,345.0,0,8840.0,0,5271.0,498.0,0,7279.0,0,13.0,5812.0,3141.0,13.0,139.0,18751.0,8454.0,0,0,0,1916.0,9333.0,0,0,129.0,697.0,8.0,0,5.0,273.0,12.0,72.0,96.0,0
MEG_2749|Drugs|MLS|Macrolide_esterases|EREA,0,0,0,0,0,0,0,0,0,0,0,0,645.0,0,0,0,0,0,0,0,0,0,0,0,163.0,0,0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6938.0,0,0,0,0,0,0,0,247.0,0,7952.0,0,0,0,0,0,0,4726.0,2632.0,0
MEG_5854|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACL,0,0,5.0,0,0,0,0,0,0,0,10.0,0,916.0,183.0,0,0,0,0,0,0,0,31.0,0,0,284.0,0,0,95.0,0,0,0,0,0,0,0,29.0,12.0,0,0,0,0,0,22.0,0,16558.0,8.0,0,0,0,0,1295.0,615.0,375.0,0,20858.0,0,0,0,0,0,0,10751.0,6914.0,0
MEG_1522|Drugs|betalactams|Class_A_betalactamases|CARB,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0,0,0,74.0,0,0,0,0,0,0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,241.0,0,0,79.0,0,0,0,0,0,0,32.0,0,0
MEG_891|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,2787.0,1240.0,400.0,0,0,0,0,0,130.0,0,522.0,596.0,290.0,0,24.0,0,0,0,0,1405.0,0,0,148.0,0,1019.0,49.0,2279.0,150.0,0,29.0,0,2443.0,0,1045.0,79.0,0,569.0,0,0,557.0,1442.0,0,1032.0,3377.0,4656.0,0,0,0,4400.0,3267.0,135.0,0,1215.0,52.0,0,0,0,637.0,0,646.0,452.0,0
MEG_4172|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKD,0,0,19333.0,5087.0,2932.0,0,0,0,69.0,0,0,0,0,2126.0,1042.0,0,2112.0,0,0,0,0,14281.0,0,0,0,212.0,5211.0,0,12594.0,890.0,0,2806.0,34.0,4089.0,0,7791.0,0,0,2312.0,0,0,6023.0,9772.0,0,0,7362.0,12666.0,0,0,86.0,11482.0,6141.0,16.0,0,0,3176.0,0,0,0,10989.0,0,0,218.0,0
MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE,791.0,236.0,15658.0,1197.0,1500.0,729.0,363.0,384.0,1183.0,910.0,2634.0,355.0,0,739.0,667.0,0,9428.0,831.0,811.0,0,598.0,25442.0,1780.0,1052.0,0,488.0,261.0,0,23255.0,7538.0,902.0,854.0,807.0,650.0,0,26920.0,8282.0,870.0,305.0,0,1116.0,486.0,60830.0,179.0,0,102150.0,0,0,0,195.0,14795.0,375.0,0,0,0,608.0,1858.0,0,1207.0,521.0,2026.0,0,0,740.0
MEG_1713|Metals|Chromium_resistance|Chromium_resistance_protein|CHRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.0,0,0
MEG_4056|Drugs|Cationic_antimicrobial_peptides|Defensin-resistant_mprF|MPRF,210.0,0,0,0,0,0,0,66.0,0,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,0,373.0,0,0,0
MEG_7588|Drugs|Glycopeptides|VanG-type_resistance_protein|VANXYG,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,0,0,0,0,0,0,0,514.0,0,0,0,0,0,0,205.0,0,0,0,0,0,0,339.0,0,0,0,0,0,78.0,0,0,363.0,0,0,0,0,0,58.0,0,0,0,409.0,0,0,0,0,0,0,275.0,168.0,0
MEG_4012|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,103.0,0,136326.0,35335.0,19732.0,669.0,90.0,75.0,265.0,0,9356.0,0,248.0,13602.0,5218.0,0,16190.0,0,113.0,0,22.0,84272.0,199.0,82.0,118.0,882.0,35598.0,140.0,82837.0,5724.0,78.0,20302.0,70.0,33733.0,0,51983.0,8265.0,132.0,16789.0,0,166.0,45483.0,76166.0,277.0,1383.0,56562.0,100906.0,0,0,351.0,91283.0,42209.0,145.0,0,1798.0,18972.0,119.0,0,103.0,69995.0,184.0,897.0,690.0,49.0
MEG_1754|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,0,0,0,0,92.0,0,0,0,0,0,0,0,110.0,249.0,0,0,0,0,0,0,0,91.0,0,0,0,0,0,0,3908.0,0,0,0,0,0,0,500.0,0,0,0,0,0,392.0,0,0,715.0,0,0,0,0,0,2729.0,1812.0,0,0,978.0,0,0,0,0,0,0,445.0,327.0,0
MEG_962|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,3227.0,1539.0,271.0,0,0,0,0,0,82.0,0,194.0,558.0,223.0,0,0,0,0,0,0,1271.0,0,0,37.0,0,1107.0,0,3627.0,148.0,0,0,0,2062.0,0,1068.0,0,0,686.0,0,0,740.0,1997.0,0,616.0,3686.0,4544.0,0,0,0,3937.0,3336.0,0,0,716.0,0,0,0,0,343.0,0,369.0,268.0,0
MEG_7055|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETBP,443.0,429.0,198461.0,54443.0,5984.0,2976.0,182.0,0,677.0,2368.0,365062.0,534.0,333.0,18848.0,414547.0,0,1103750.0,2649.0,1263.0,0,1695.0,181333.0,642.0,201.0,274.0,1867.0,93986.0,0,76062.0,1674739.0,335.0,122969.0,152.0,40961.0,0,152055.0,719622.0,3358.0,10234.0,0,72.0,34776.0,125144.0,225.0,19294.0,63842.0,70929.0,0,0,2129.0,25593.0,6460.0,360.0,0,17134.0,44909.0,100.0,0,176.0,43366.0,498.0,12944.0,6502.0,94.0
MEG_7206|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,477.0,0,57036.0,7125.0,16115.0,66.0,0,169.0,77.0,0,72541.0,0,231.0,14122.0,12781.0,0,141233.0,108.0,168.0,0,105.0,145446.0,88.0,0,0,114.0,1468.0,0,161020.0,98921.0,770.0,5637.0,53.0,12652.0,0,128154.0,61401.0,184.0,3838.0,0,661.0,52793.0,60195.0,0,3792.0,39235.0,11239.0,0,0,0,110398.0,24239.0,123.0,0,4240.0,5213.0,569.0,0,416.0,2077.0,592.0,2465.0,1632.0,525.0
MEG_810|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,2194.0,1225.0,246.0,0,0,0,0,0,0,0,348.0,408.0,235.0,0,0,0,0,0,0,656.0,0,0,66.0,0,1056.0,26.0,915.0,97.0,0,17.0,0,2675.0,0,449.0,47.0,0,587.0,0,0,424.0,888.0,0,609.0,1897.0,4068.0,0,0,0,1780.0,2288.0,82.0,0,734.0,22.0,0,0,0,431.0,0,435.0,262.0,0
MEG_6734|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,433.0,501.0,475.0,0,0,0,0,0,50.0,0,0,66.0,0,0,286.0,0,0,0,0,407.0,0,0,0,0,76.0,0,968.0,0,0,498.0,0,115.0,0,277.0,0,0,221.0,0,0,115.0,1058.0,0,37.0,544.0,214.0,0,0,0,610.0,390.0,0,0,42.0,213.0,0,0,0,0,0,0,26.0,0
MEG_896|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,21.0,0,0,0,0,0,0,0,282.0,119.0,0,0,0,0,0,0,0,64.0,0,0,58.0,0,0,0,1172.0,0,0,0,0,256.0,0,193.0,0,0,345.0,0,0,196.0,0,0,1150.0,623.0,308.0,0,0,0,761.0,932.0,102.0,0,1382.0,0,0,0,0,0,0,800.0,449.0,0
MEG_6883|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,257.0,228.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,428.0,0,0,304.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1766|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,0,0,0,0,60.0,0,0,0,0,0,0,0,386.0,0,0,0,0,0,0,0,0,74.0,0,0,97.0,0,0,21.0,4922.0,0,0,0,0,0,0,595.0,0,0,0,0,0,0,0,0,1595.0,0,0,0,0,0,3508.0,2555.0,74.0,0,1971.0,0,0,0,0,0,0,979.0,716.0,0
MEG_6656|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHB,68.0,0,122119.0,30093.0,18819.0,452.0,82.0,45.0,185.0,0,8858.0,0,188.0,12506.0,4009.0,0,17121.0,12.0,67.0,0,12.0,86187.0,145.0,75.0,88.0,630.0,30340.0,76.0,81319.0,5169.0,87.0,17740.0,57.0,21494.0,0,54500.0,8845.0,139.0,12535.0,0,117.0,47783.0,74366.0,189.0,1826.0,54728.0,89049.0,0,0,234.0,83826.0,31972.0,169.0,0,2089.0,15856.0,79.0,0,86.0,60477.0,121.0,1320.0,988.0,44.0
MEG_2423|Drugs|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5364|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,2148.0,0,0,607.0,0,0,0,937.0,0,0,0,0,1230.0,0,0,778.0,0,0,0,0,0,0,812.0,0,0,0,0,577.0,0,0,0,0,88303.0,0,0,722.0,657.0,0,0,0,1906.0,1215.0,115910.0,0,0,534.0,0,0,0,69350.0,33367.0,0
MEG_3974|Drugs|betalactams|Class_C_betalactamases|MIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5930|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470.0,0,0,0,0,0,0,0,0,0,1758.0,0,0,0,0,0,0,846.0,568.0,0
MEG_6770|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5399|Drugs|betalactams|Penicillin_binding_protein|PBP1A|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7457|Drugs|Glycopeptides|VanA-type_regulator|VANRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,0,0,0,0,0,0,0,0,0,47.0,0,0,0,0,0,0,0,0,0
MEG_1003|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,2133.0,78.0,261.0,649.0,2250.0,341.0,177.0,664.0,542.0,311.0,250.0,91.0,0,3352.0,105.0,0,123.0,165.0,156.0,0,337.0,891.0,828.0,156.0,0,275.0,172.0,0,577.0,73.0,4359.0,250.0,292.0,154.0,0,1089.0,318.0,337.0,194.0,0,3448.0,2933.0,471.0,58.0,0,41.0,0,0,0,124.0,212.0,1319.0,0,0,0,121.0,2643.0,0,2381.0,299.0,3040.0,0,176.0,2584.0
MEG_3107|Drugs|betalactams|Class_A_betalactamases|GES,0,0,0,0,0,0,0,0,0,0,0,0,1569.0,0,0,0,0,0,0,0,0,0,0,0,381.0,0,0,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3509.0,0,0,0,0,0,0,0,436.0,0,3998.0,0,0,0,0,0,0,2489.0,1177.0,0
MEG_7603|Drugs|Glycopeptides|VanD-type_accessory_protein|VANYD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6971|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,327.0,101.0,19242.0,5146.0,4045.0,0,0,0,0,317.0,84189.0,92.0,65019.0,5073.0,56288.0,0,375760.0,334.0,556.0,103.0,321.0,32222.0,0,0,16685.0,594.0,862.0,8215.0,26490.0,196775.0,0,11862.0,0,7196.0,110.0,25258.0,215084.0,284.0,1326.0,189.0,234.0,15634.0,37341.0,0,327449.0,10553.0,3644.0,134.0,171.0,0,27368.0,10331.0,38312.0,87.0,364265.0,20497.0,0,0,201.0,9450.0,0,252615.0,99131.0,0
MEG_3144|Drugs|Fosfomycin|Fosfomycin_target_mutation|GLPT|RequiresSNPConfirmation,193.0,0,453.0,474.0,77.0,1159.0,151.0,146.0,520.0,0,0,20.0,0,108.0,0,0,0,0,171.0,0,22.0,136.0,397.0,213.0,0,1395.0,720.0,0,218.0,0,123.0,162.0,179.0,74.0,0,139.0,0,181.0,171.0,0,242.0,79.0,275.0,460.0,0,0,124.0,0,0,578.0,60.0,41.0,0,0,0,95.0,155.0,0,192.0,1177.0,254.0,0,0,114.0
MEG_2506|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.0,0,0,0,0,0,0,0,0
MEG_3822|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3709.0,0,0,0,0,0,0,0,0,0,4922.0,0,0,0,0,0,0,2682.0,1247.0,0
MEG_6691|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,121.0,95.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,0,0,0,0,0,0,0,0,0,86.0,0,0,0,0,0,0,0,0,0,0,191.0,0,0,112.0,0,0,0,0,0,0,0,0,0,42.0,0,0,0,0,0,0,0,0
MEG_6968|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET31,0,0,0,0,31.0,0,0,0,0,0,0,0,28.0,83.0,0,0,0,0,0,0,0,175.0,0,0,0,0,0,0,195.0,0,0,0,0,0,0,185.0,0,0,0,0,0,91.0,0,0,303.0,0,0,0,0,0,118.0,903.0,0,0,380.0,0,0,0,0,0,0,217.0,124.0,0
