Run,Sample_name,Fastq-dump-command,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_source,lat_lon,Library Name,Library_Prep_Assay,Library_Type,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SampleID,SRA Study
SRR4425675,SRR4425675,fastq-dump --split-files --gzip SRR4425675,OTHER,252,13045833108,PRJNA339554,SAMN05597088,Metagenome or environmental,4764783155,COLORADO STATE UNIVERSITY,2015,public,SRX2247601,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineMetagenomeUMIA,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineMetagenomeUMIA,SwineA,SRP091614
SRR4425676,SRR4425676,fastq-dump --split-files --gzip SRR4425676,OTHER,252,15867244764,PRJNA339554,SAMN05597089,Metagenome or environmental,5692588888,COLORADO STATE UNIVERSITY,2015,public,SRX2247602,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineMetagenomeUMIB,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineMetagenomeUMIB,SwineB,SRP091614
SRR4425677,SRR4425677,fastq-dump --split-files --gzip SRR4425677,OTHER,252,9751069692,PRJNA339554,SAMN05597086,Metagenome or environmental,3579458175,COLORADO STATE UNIVERSITY,2015,public,SRX2247603,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryMetagenomeUMIC,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryMetagenomeUMIC,PoultryC,SRP091614
SRR4425678,SRR4425678,fastq-dump --split-files --gzip SRR4425678,OTHER,252,9212071176,PRJNA339554,SAMN05597087,Metagenome or environmental,3352940782,COLORADO STATE UNIVERSITY,2015,public,SRX2247604,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryMetagenomeUMID,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryMetagenomeUMID,PoultryD,SRP091614
SRR4425679,SRR4425679,fastq-dump --split-files --gzip SRR4425679,OTHER,252,8392365576,PRJNA339554,SAMN05597084,Metagenome or environmental,3038159795,COLORADO STATE UNIVERSITY,2015,public,SRX2247605,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryMetagenomeUMIA,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryMetagenomeUMIA,PoultryA,SRP091614
SRR4425680,SRR4425680,fastq-dump --split-files --gzip SRR4425680,OTHER,252,10961345052,PRJNA339554,SAMN05597085,Metagenome or environmental,3997549524,COLORADO STATE UNIVERSITY,2015,public,SRX2247606,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryMetagenomeUMIB,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryMetagenomeUMIB,PoultryB,SRP091614
SRR4425693,SRR4425693,fastq-dump --split-files --gzip SRR4425693,OTHER,252,10930202892,PRJNA339554,SAMN05597081,Metagenome or environmental,3951278145,COLORADO STATE UNIVERSITY,2015,public,SRX2247619,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefMetagenomeUMIB,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefMetagenomeUMIB,BeefB,SRP091614
SRR4425707,SRR4425707,fastq-dump --split-files --gzip SRR4425707,OTHER,252,16474942008,PRJNA339554,SAMN05597080,Metagenome or environmental,5902438042,COLORADO STATE UNIVERSITY,2015,public,SRX2247633,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefMetagenomeUMIA,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefMetagenomeUMIA,BeefA,SRP091614
SRR4425708,SRR4425708,fastq-dump --split-files --gzip SRR4425708,OTHER,252,10771593840,PRJNA339554,SAMN05597083,Metagenome or environmental,3867179953,COLORADO STATE UNIVERSITY,2015,public,SRX2247634,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefMetagenomeUMID,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefMetagenomeUMID,BeefD,SRP091614
SRR4425709,SRR4425709,fastq-dump --split-files --gzip SRR4425709,OTHER,252,13724626860,PRJNA339554,SAMN05597082,Metagenome or environmental,4875765947,COLORADO STATE UNIVERSITY,2015,public,SRX2247635,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefMetagenomeUMIC,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefMetagenomeUMIC,BeefC,SRP091614
SRR4425716,SRR4425716,fastq-dump --split-files --gzip SRR4425716,OTHER,252,10047504348,PRJNA339554,SAMN05597095,Metagenome or environmental,3726044330,COLORADO STATE UNIVERSITY,2015,public,SRX2247642,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPMetagenomeUMID,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPMetagenomeUMID,WWTPD,SRP091614
SRR4425717,SRR4425717,fastq-dump --split-files --gzip SRR4425717,OTHER,252,10924156404,PRJNA339554,SAMN05597094,Metagenome or environmental,3994899854,COLORADO STATE UNIVERSITY,2015,public,SRX2247643,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPMetagenomeUMIC,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPMetagenomeUMIC,WWTPC,SRP091614
